length,n_sequences
0,132149
1,302
2,833
3,203
4,359
5,532
6,1801
7,2187
8,1001
9,1056
10,1549
11,2768
12,1262
13,1242
14,2157
15,3848
16,2144
17,3634
18,3938
19,2370
20,6790
21,10102
22,43699
23,25191
24,27765
25,3029
26,2261
27,2405
28,3115
29,4274
30,5449
31,22228
32,18269
33,10566
34,12215
35,4711
36,4442
37,4378
38,4578
39,4664
40,3432
41,7013
42,4880
43,4155
44,3834
45,5068
46,3990
47,5029
48,19300
49,204201
50,353632
