length,n_sequences
0,147408
1,212
2,384
3,575
4,1883
5,2414
6,1319
7,1219
8,1715
9,2990
10,1602
11,108
12,1368
13,2442
14,4227
15,2427
16,3944
17,4388
18,2622
19,7514
20,11013
21,44510
22,27840
23,29399
24,4567
25,2471
26,2613
27,3322
28,4518
29,5751
30,22829
31,1277
32,19249
33,11237
34,12750
35,4994
36,5124
37,4592
38,4963
39,4904
40,3606
41,7013
42,4880
43,4154
44,3834
45,5067
46,3988
47,4866
48,18381
49,202308
50,323219
