length,n_sequences
0,150729
1,2428
2,1292
3,100
4,1243
5,1748
6,3088
7,1383
8,1412
9,2321
10,4198
11,267
12,2460
13,3975
14,4400
15,2489
16,7166
17,10968
18,45638
19,1555
20,27165
21,29833
22,3653
23,2351
24,2659
25,3368
26,4535
27,213
28,5880
29,23882
30,19692
31,10878
32,13147
33,5467
34,5606
35,185
36,4670
37,5036
38,5098
39,3501
40,7681
41,5487
42,6623
43,161
44,4859
45,14548
46,27988
47,4802
48,18143
49,197493
50,28653
