length,n_sequences
0,142569
1,557
2,909
3,219
4,398
5,599
6,2016
7,2503
8,1147
9,1227
10,1772
11,3051
12,1447
13,1366
14,2473
15,4214
16,2396
17,3965
18,4358
19,2590
20,7630
21,11154
22,46507
23,26934
24,29598
25,3320
26,2485
27,2617
28,3373
29,4577
30,5941
31,23993
32,19548
33,11457
34,13022
35,5087
36,5249
37,4646
38,5101
39,4961
40,4044
41,7623
42,7370
43,4324
44,4859
45,14562
46,28028
47,4804
48,18508
49,197802
50,291100
