length,n_sequences
0,141997
1,372
2,903
3,216
4,392
5,581
6,1998
7,2475
8,1129
9,1208
10,1755
11,3023
12,1423
13,1348
14,2437
15,4174
16,2355
17,3918
18,4308
19,2547
20,7544
21,10838
22,45908
23,26537
24,29233
25,3237
26,2437
27,2590
28,3333
29,4534
30,5846
31,23571
32,19249
33,11237
34,12750
35,4994
36,5124
37,4592
38,4963
39,4904
40,3606
41,7013
42,4880
43,4155
44,3834
45,5067
46,3988
47,4866
48,18894
49,202642
50,329075
